Date,Race Time,Course,Horse,Odds,Confidence,Position,Mode,Profit,Stake
2025-05-20,7:50,Cork,Royal Entry,9.2,0.9547628164291382,1,advised,4.52,1.0
2025-05-20,7:58,Hexham,Moveonbuy,8.0,0.8068490028381348,4,advised,-0.75,0.75
2025-05-20,8:28,Hexham,Benson,4.7,0.9241564869880676,4,advised,-1.0,1.0
2025-05-21,2:00,Ayr,Le Beau Garcon,3.5,0.9870352149009703,1,advised,2.5,1.0
2025-05-21,2:22,Chepstow,Triple Gee,4.1,0.953594446182251,2,advised,-1.0,1.0
2025-05-21,2:30,Ayr,Kanishka,5.4,0.8996034860610962,2,advised,-0.34,0.75
2025-05-21,2:40,Warwick,Beau Gold,20.0,0.9674577116966248,4,advised,-1.0,1.0
2025-05-21,2:52,Chepstow,No Gain,11.0,0.992140769958496,4,advised,-1.0,1.0
2025-05-21,3:00,Ayr,Woohoo,2.68,0.95256108045578,1,advised,1.68,1.0
2025-05-21,3:22,Chepstow,Italica,1.7,0.9775148034095764,1,advised,0.7,1.0
2025-05-21,3:30,Ayr,Commanding Prince,3.3,0.9855636358261108,2,advised,-1.0,1.0
2025-05-21,3:40,Warwick,Slievegar,6.2,0.9390681982040404,2,advised,-1.0,1.0
2025-05-21,3:55,Chepstow,Glamorous Breeze,6.6,0.9826802611351012,1,advised,2.96,1.0
2025-05-21,4:05,Ayr,Hosanna Power,4.5,0.9663394093513488,9,advised,-1.0,1.0
2025-05-21,4:25,Chepstow,Bust A Moon,4.5,0.993858277797699,2,advised,-1.0,1.0
2025-05-21,4:50,Warwick,Gwennie May Star,5.1,0.9411025643348694,3,advised,-1.0,1.0
2025-05-21,5:00,Chepstow,Ultramarine,24.0,0.9865108728408812,1,advised,13.4,1.0
2025-05-21,5:17,Ayr,Jewel Maker,24.0,0.9477927088737488,4,advised,-1.0,1.0
2025-05-21,5:25,Warwick,Getalead,3.25,0.8754055500030518,2,advised,-0.75,0.75
2025-05-21,5:35,Chepstow,Savannah Smiles,3.35,0.9909030795097352,3,advised,-1.0,1.0
2025-05-21,5:40,Kempton (AW),Cosi Bello,1.73,0.9760444164276124,1,advised,0.73,1.0
2025-05-21,5:45,Gowran Park,Luscious,7.4,0.934027373790741,3,advised,-0.26,1.0
2025-05-21,6:00,Brighton,Coolagh Magic,22.0,0.9934847950935364,4,advised,-1.0,1.0
2025-05-21,6:10,Kempton (AW),English Lady,21.0,0.968349814414978,8,advised,-1.0,1.0
2025-05-21,6:20,Gowran Park,Pierre Royal,5.7,0.9301835298538208,1,advised,2.42,1.0
2025-05-21,6:30,Brighton,Salve Electra,7.6,0.9775787591934204,1,advised,3.56,1.0
2025-05-21,6:50,Gowran Park,Daymer Bay,19.0,0.9784008264541626,12,advised,-1.0,1.0
2025-05-21,7:00,Brighton,Warm Glow,9.8,0.9922221302986144,3,advised,-0.02,1.0
2025-05-21,7:10,Kempton (AW),Museum Piece,4.5,0.918649971485138,4,advised,-1.0,1.0
2025-05-21,7:20,Gowran Park,Lemsairbat,2.5,0.9670261740684508,3,advised,-1.0,1.0
2025-05-21,7:30,Brighton,Poetic Force,4.9,0.9930042624473572,3,advised,-1.0,1.0
2025-05-21,7:50,Gowran Park,Party Dress,6.8,0.9757289290428162,9,advised,-1.0,1.0
2025-05-21,8:00,Brighton,Versatile,6.8,0.9860610961914062,5,advised,-1.0,1.0
2025-05-21,8:30,Brighton,Under Curfew,9.8,0.9934957027435304,8,advised,-1.0,1.0
2025-05-22,2:05,Ffos Las,King Roly,3.95,0.861030101776123,1,advised,2.21,0.75
2025-05-22,2:17,Haydock,Fleur De Mer,5.1,0.9831053614616394,5,advised,-1.0,1.0
2025-05-22,2:55,Yarmouth,Risen Again,1.9,0.9744429588317872,4,advised,-1.0,1.0
2025-05-22,3:05,Ffos Las,Obsessedwithyou,4.6,0.8612558841705322,1,advised,2.7,0.75
2025-05-22,3:25,Yarmouth,Acceptance,4.0,0.8546299934387207,6,advised,-0.75,0.75
2025-05-22,3:35,Ffos Las,Millsbridge,13.0,0.9793859124183656,5,advised,-1.0,1.0
2025-05-22,4:05,Ffos Las,Djo Dela Barriere,3.05,0.8779732584953308,3,advised,-0.75,0.75
2025-05-22,4:17,Haydock,Spirited Style,2.98,0.9803181886672974,1,advised,1.98,1.0
2025-05-22,4:40,Ffos Las,Junior Des Mottes,34.0,0.907518744468689,3,advised,-1.0,1.0
2025-05-22,4:52,Haydock,Woroodd,2.2,0.9862210750579834,1,advised,1.2,1.0
2025-05-22,5:00,Yarmouth,Anglo Saxson,5.0,0.9491199851036072,5,advised,-1.0,1.0
2025-05-22,5:22,Haydock,Miss Collada,46.0,0.988033413887024,6,advised,-1.0,1.0
2025-05-22,5:30,Wolverhampton (AW),Sarabi,17.5,0.9887526631355286,6,advised,-1.0,1.0
2025-05-22,6:08,Limerick,Ambitious Fellow,5.5,0.8946130871772766,3,advised,-0.75,0.75
2025-05-22,6:38,Limerick,U Asking Me,4.1,0.8630649447441101,3,advised,-0.75,0.75
2025-05-22,7:00,Wolverhampton (AW),That Lucas Fella,9.8,0.9777721166610718,2,advised,-0.02,1.0
2025-05-22,7:08,Limerick,Iceberg Theory,2.86,0.8830875754356384,1,advised,1.4,0.75
2025-05-22,7:30,Wolverhampton (AW),Aroof,5.1,0.9771387577056884,5,advised,-1.0,1.0
2025-05-22,8:00,Wolverhampton (AW),The Cola Brasil,10.0,0.985584318637848,6,advised,-1.0,1.0
2025-05-22,8:30,Wolverhampton (AW),Triggered,4.2,0.9914271831512452,2,advised,-1.0,1.0
2025-05-22,9:00,Wolverhampton (AW),Ornately,3.45,0.9844116568565368,2,advised,-1.0,1.0
2025-05-22,02:05,Ffos Las,King Roly,3.95,0.861030101776123,1,level,2.95,
2025-05-22,02:17,Haydock,Fleur De Mer,5.1,0.9831053614616394,5,level,-1.0,
2025-05-22,02:55,Yarmouth,Risen Again,1.9,0.9744429588317872,4,level,-1.0,
2025-05-22,03:05,Ffos Las,Obsessedwithyou,4.6,0.8612558841705322,1,level,3.6,
2025-05-22,03:25,Yarmouth,Acceptance,4.0,0.8546299934387207,6,level,-1.0,
2025-05-22,03:35,Ffos Las,Millsbridge,13.0,0.9793859124183656,5,level,-1.0,
2025-05-22,04:05,Ffos Las,Djo Dela Barriere,3.05,0.8779732584953308,3,level,-1.0,
2025-05-22,04:17,Haydock,Spirited Style,2.98,0.9803181886672974,1,level,1.98,
2025-05-22,04:40,Ffos Las,Junior Des Mottes,34.0,0.907518744468689,3,level,-1.0,
2025-05-22,04:52,Haydock,Woroodd,2.2,0.9862210750579834,1,level,1.2,
2025-05-22,05:00,Yarmouth,Anglo Saxson,5.0,0.9491199851036072,5,level,-1.0,
2025-05-22,05:22,Haydock,Miss Collada,46.0,0.988033413887024,6,level,-1.0,
2025-05-22,05:30,Wolverhampton (AW),Sarabi,17.5,0.9887526631355286,6,level,-1.0,
2025-05-22,06:08,Limerick,Ambitious Fellow,5.5,0.8946130871772766,3,level,-1.0,
2025-05-22,06:38,Limerick,U Asking Me,4.1,0.8630649447441101,3,level,-1.0,
2025-05-22,07:00,Wolverhampton (AW),That Lucas Fella,9.8,0.9777721166610718,2,level,-0.02,
2025-05-22,07:08,Limerick,Iceberg Theory,2.86,0.8830875754356384,1,level,1.86,
2025-05-22,07:30,Wolverhampton (AW),Aroof,5.1,0.9771387577056884,5,level,-1.0,
2025-05-22,08:00,Wolverhampton (AW),The Cola Brasil,10.0,0.985584318637848,6,level,-1.0,
2025-05-22,08:30,Wolverhampton (AW),Triggered,4.2,0.9914271831512452,2,level,-1.0,
2025-05-22,09:00,Wolverhampton (AW),Ornately,3.45,0.9844116568565368,2,level,-1.0,
2025-05-23,02:05,Goodwood,Mission Classified,13.5,0.8024099469184875,3,level,-1.0,
2025-05-23,03:00,Haydock,Frost At Dawn,3.7,0.979742705821991,1,level,2.7,
2025-05-23,03:15,Goodwood,Loving Look,27.0,0.92487633228302,8,level,-1.0,
2025-05-23,03:50,Goodwood,Liberty Lane,1.4,0.9717314839363098,1,level,0.4,
2025-05-23,05:45,Curragh,Greek Flower,7.6,0.884794294834137,6,level,-1.0,
2025-05-23,06:47,Pontefract,Liverpool Star,27.0,0.9667189717292786,9,level,-1.0,
2025-05-23,06:55,Curragh,Tiberius Thunder,6.2,0.9772261381149292,5,level,-1.0,
2025-05-23,07:25,Curragh,Moltophino,4.2,0.9887758493423462,1,level,3.2,
2025-05-23,08:25,Curragh,Ocean Manifest,3.6,0.8011283874511719,18,level,-1.0,
2025-05-24,01:15,Haydock,Dashing Darcey,13.0,0.9798966646194458,2,level,0.3,
2025-05-24,01:50,Haydock,Afentiko,29.0,0.995321810245514,3,level,1.9,
2025-05-24,01:55,Curragh,Magical Hope,10.5,0.98957622051239,3,level,-1.0,
2025-05-24,02:05,Goodwood,Basalt,16.5,0.9809547662734984,5,level,-1.0,
2025-05-24,02:10,Beverley,Artista,4.1,0.9566039443016052,3,level,-1.0,
2025-05-24,02:35,Goodwood,Blue Nguru,3.75,0.9566474556922911,3,level,-1.0,
2025-05-24,02:45,Beverley,Naval Light,5.6,0.9930904507637024,2,level,-0.44,
2025-05-24,03:00,Haydock,Big Mojo,5.6,0.992020308971405,4,level,-1.0,
2025-05-24,03:05,Curragh,Storm Boy,3.1,0.9967005848884584,9,level,-1.0,
2025-05-24,03:15,Goodwood,Manila Thriller,21.0,0.9914371371269226,7,level,-1.0,
2025-05-24,03:30,Haydock,American Affair,2.9,0.996084690093994,5,level,-1.0,
2025-05-24,03:40,Curragh,Scorthy Champ,4.1,0.9959176182746888,6,level,-1.0,
2025-05-24,04:10,Haydock,Don Pacifico,7.0,0.9224349856376648,2,level,-0.3,
2025-05-24,04:15,Curragh,Skukuza,2.98,0.9968931674957277,1,level,1.98,
2025-05-24,04:20,Goodwood,Song Brocade,18.0,0.9903151392936708,7,level,-1.0,
2025-05-24,04:40,Haydock,Humble Spark,5.6,0.9792892336845398,2,level,-0.44,
2025-05-24,04:50,Curragh,Chicago Fireball,7.6,0.9957537651062012,7,level,-1.0,
2025-05-24,04:55,Goodwood,Naanas Sparkle,9.0,0.8913898468017578,3,level,-0.1,
2025-05-24,06:50,Salisbury,Jarraaf,2.7,0.9852939248085022,4,level,-1.0,
2025-05-25,02:30,Curragh,Porta Fortuna,2.24,0.9957653284072876,1,level,1.24,
2025-05-25,03:05,Curragh,Anmaat,7.0,0.993398666381836,2,level,-0.3,
2025-05-25,03:40,Curragh,Swelter,3.45,0.9941577911376952,9,level,-1.0,
2025-05-25,03:48,Uttoxeter,Vintage Fizz,6.2,0.9527803659439088,4,level,-1.0,
2025-05-25,05:25,Curragh,Nancee Spain,11.5,0.9348148703575134,10,level,-1.0,
2025-05-23,2:05,Goodwood,Mission Classified,13.5,0.8024099469184875,3,advised,-0.75,0.75
2025-05-23,3:00,Haydock,Frost At Dawn,3.7,0.979742705821991,1,advised,2.7,1.0
2025-05-23,3:15,Goodwood,Loving Look,27.0,0.92487633228302,8,advised,-1.0,1.0
2025-05-23,3:50,Goodwood,Liberty Lane,1.4,0.9717314839363098,1,advised,0.4,1.0
2025-05-23,5:45,Curragh,Greek Flower,7.6,0.884794294834137,6,advised,-0.75,0.75
2025-05-23,6:47,Pontefract,Liverpool Star,27.0,0.9667189717292786,9,advised,-1.0,1.0
