Date,Meeting,Time,EW/Win,Jockey,Horse,Odds,SP,Value,Result,Stake,Profit,Running Profit,Best Odds,Running Profit Best Odds
2025-05-19,Redcar,4:45,Win,David Nolan,Novello Lad,2.82,2.82,100.0,3,1.0,-1.0,14.65,2.82,14.65
2025-05-19,Carlisle,5:00,EW,Amie Waugh(3),Heavenly Heather,12.0,12.0,100.0,4,1.0,-0.5,14.15,12.0,14.15
2025-05-19,Roscommon,5:10,EW,Wayne Hassett(5),Letters Of Love,10.5,10.5,100.0,NR,1.0,0.0,14.15,10.5,14.15
2025-05-19,Redcar,5:15,EW,Faye Mcmanoman,I Can Boogy,20.0,20.0,100.0,1,1.0,11.0,25.15,20.0,25.15
2025-05-19,Windsor,5:20,EW,Hollie Doyle,Faustus,27.0,27.0,100.0,4,1.0,-0.5,24.65,27.0,24.65
2025-05-19,Carlisle,5:30,EW,Shane Gray,Harry Palmer,9.0,9.0,100.0,5,1.0,-0.5,24.15,9.0,24.15
2025-05-19,Roscommon,5:40,Win,James Ryan(3),Divelment,3.55,3.55,100.0,NR,1.0,0.0,24.15,3.55,24.15
2025-05-19,Windsor,5:50,EW,Rhys Clutterbuck,Canyouhearthedrums,9.8,9.8,100.0,9,1.0,-0.5,23.65,9.8,23.65
2025-05-19,Roscommon,6:10,EW,Adam Caffrey,Carrickfinn,65.0,65.0,100.0,NR,1.0,0.0,23.65,65.0,23.65
2025-05-19,Windsor,6:20,EW,Oisin Murphy,Blue Bolt,5.0,5.0,100.0,1,1.0,2.0,25.65,5.0,25.65
2025-05-19,Roscommon,6:40,Win,Ben Coen,Mocking,3.15,3.15,100.0,NR,1.0,0.0,25.65,3.15,25.65
2025-05-19,Roscommon,7:10,EW,Ross Coakley,Chavajod,7.8,7.8,100.0,NR,1.0,0.0,25.65,7.8,25.65
2025-05-19,Windsor,7:20,EW,Oisin Murphy,Fast Steps,22.0,22.0,100.0,3,1.0,1.7,27.35,22.0,27.35
2025-05-19,Wolverhampton (AW),7:30,EW,Mohammed Tabti(5),Invincible Ruby,16.0,16.0,100.0,7,1.0,-0.5,26.85,16.0,26.85
2025-05-19,Roscommon,7:40,EW,James Ryan(3),Ozark Daze,9.8,9.8,100.0,NR,1.0,0.0,26.85,9.8,26.85
2025-05-19,Windsor,7:50,EW,Connor Planas(3),Epimeteo,17.0,17.0,100.0,7,1.0,-0.5,26.35,17.0,26.35
2025-05-19,Wolverhampton (AW),8:00,Win,George Bass,Medinilla,4.3,4.3,100.0,1,1.0,3.3,29.65,4.3,29.65
2025-05-19,Roscommon,8:10,Win,W J Lee,Enziya,2.96,2.96,100.0,NR,1.0,0.0,29.65,2.96,29.65
2025-05-19,Wolverhampton (AW),8:30,EW,Richard Kingscote,Rock N Roll Rocket,8.2,8.2,100.0,1,1.0,3.92,33.57,8.2,33.57
2025-05-19,Wolverhampton (AW),9:00,EW,Archie Young(5),Novak,5.8,5.8,100.0,NR,1.0,0.0,33.57,5.8,33.57
2025-05-20,Southwell,3:20,Win,Sean Bowen,El Muchacho,2.36,2.36,100.0,3,1.0,-1.0,-1.0,2.36,-1.0
2025-05-20,Nottingham,3:32,EW,Alistair Rawlinson,Zaramara,11.5,11.5,100.0,6,1.0,-0.5,-1.5,11.5,-1.5
2025-05-20,Lingfield,3:40,EW,Grace Mcentee,Brasil Power,10.0,10.0,100.0,2,1.0,0.5,-1.0,10.0,-1.0
